Route,Name,Service_Type,Route_Direction
7,Bathurst,Regular,North/South
8,Broadview,Regular,North/South
9,Bellamy,Regular,North/South
10,Van Horne,Limited,East/West
11,Bayview,Regular,North/South
12,Kingston Road,Regular,East/West
13,Avenue Road,Regular,North/South
14,Glencairn,Regular,East/West
15,Evans,Regular,East/West
16,McCowan,Regular,North/South
17,Birchmount,Regular,North/South
19,Bay,Regular,North/South
20,Cliffside,Regular,East/West
21,Brimley,Regular,North/South
22,Coxwell,Regular,North/South
23,Dawes,Regular,North/South
24,Victoria Park,Regular,North/South
25,Don Mills,Regular,North/South
26,Dupont,Regular,East/West
28,Bayview South,Regular,East/West
29,Dufferin,Regular,North/South
30,High Park,Regular,East/West
31,Greenwood,Regular,North/South
32,Eglinton West,Regular,East/West
33,Forest Hill,Regular,East/West
34,Eglinton East,Regular,East/West
35,Jane,Regular,North/South
36,Finch West,Regular,North/South
37,Islington,Regular,North/South
38,Highland Creek,Regular,East/West
39,Finch East,Regular,East/West
40,Junction–Dundas West,Regular,East/West
41,Keele,Regular,North/South
42,Cummer,Regular,East/West
43,Kennedy,Regular,North/South
44,Kipling South,Regular,North/South
45,Kipling,Regular,North/South
46,Martin Grove,Regular,North/South
47,Lansdowne,Regular,North/South
48,Rathburn,Regular,East/West
49,Bloor West,Regular,East/West
50,Burnhamthorpe,Regular,East/West
51,Leslie,Regular,North/South
52,Lawrence West,Regular,East/West
53,Steeles East,Regular,East/West
54,Lawrence East,Regular,East/West
55,Warren Park,Regular,North/South
56,Leaside,Regular,North/South
57,Midland,Regular,North/South
59,Maple Leaf,Regular,East/West
60,Steeles West,Regular,East/West
61,Avenue Road North,Regular,North/South
62,Mortimer,Regular,East/West
63,Ossington,Regular,North/South
64,Main,Regular,North/South
65,Parliament,Regular,North/South
66,Prince Edward,Regular,North/South
67,Pharmacy,Regular,North/South
68,Warden,Regular,North/South
69,Warden South,Regular,North/South
70,O'Connor,Regular,North/South
71,Runnymede,Regular,North/South
72,Pape,Regular,North/South
73,Royal York,Regular,North/South
74,Mt Pleasant,Regular,North/South
75,Sherbourne,Regular,North/South
76,Royal York South,Regular,North/South
77,Swansea,Regular,North/South
78,St. Andrews,Regular,East/West
79,Scarlett Rd,Regular,North/South
80,Queensway,Regular,East/West
81,Thorncliffe Park,Regular,North/South
82,Rosedale,Regular,East/West
